"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","checkingPlaceHolderSumHomeInternet()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderSumHomeInternet"
"","73","checkingPlaceHolderSumTest()","","Mon Aug 19 14:26:43 GMT+03:00 2024","passed","Mon Aug 19 14:26:43 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderSumTest"
"","66","checkingPlaceHolderNumberNumber()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderNumberNumber"
"","427","checkingPlaceHolderEmailHomeInternet()","","Mon Aug 19 14:26:40 GMT+03:00 2024","passed","Mon Aug 19 14:26:41 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderEmailHomeInternet"
"","97","checkingPlaceHolderAccountNumber()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderAccountNumber"
"","96","checkingPlaceHolderNumberAccountArrears()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderNumberAccountArrears"
"","54","checkingPlaceHolderEmailTest()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderEmailTest"
"","59","checkingPlaceHolderEmailInstalment()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderEmailInstalment"
"","152","checkingPlaceHolderSumInstalment()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderSumInstalment"
"","169","checkingPlaceHolderEmailArrears()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:42 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderEmailArrears"
"","93","checkingPlaceHolderSumArrears()","","Mon Aug 19 14:26:41 GMT+03:00 2024","passed","Mon Aug 19 14:26:41 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderSumArrears"
"","91","checkingPlaceHolderPhoneTest()","","Mon Aug 19 14:26:42 GMT+03:00 2024","passed","Mon Aug 19 14:26:43 GMT+03:00 2024","","Test1","Test1","checkingPlaceHolderPhoneTest"
